dates;tmean;tmin;tmax;prec;globrad;vappres;windspeed
2020-01-05;2.87436111111111;-2.545;7.1;0;7.8859269;0.189169290942452;1.86901388888889
2020-01-06;-1.39520833333333;-4.091;4.334;0;7.7296602;0.232195186873759;0.00830902777777778
2020-01-07;0.939196180555556;-3.587;8.93;0;6.452778;0.329285201109004;0.670677083333333
2020-01-08;1.46660416666667;-2.55;7.18;0;7.9681533;0.29964381707352;0.0215972222222222
2020-01-09;3.68043055555556;-0.671;9.85;0.6;7.3017594;0.406761593308335;0.0126701388888889
2020-01-10;-0.314430555555556;-3.263;5.772;2;7.8179028;0.37907095667569;0.0174201388888889
2020-01-11;1.12838888888889;-2.401;8.75;0;7.8643119;0.328299254541056;0.453381944444444
2020-01-12;-0.471145833333333;-3.778;6.996;0;8.1101781;0.240483717441038;1.86488541666667
2020-01-13;-0.315246527777778;-3.796;5.366;0;7.2605526;0.276876300694627;1.21472569444444
2020-01-14;-2.69702777777778;-5.889;3.303;0;7.9100223;0.310040174948643;0.461430555555556
2020-01-15;-1.84296527777778;-4.925;4.633;0;7.8384522;0.324925743722645;0.00964236111111111
2020-01-16;-0.109409722222222;-4.184;8.55;0;7.3054026;0.356268302772357;0.01428125
2020-01-17;-0.05640625;-3.474;6.097;0;8.1978231;0.375838724736583;0.0156909722222222
2020-01-18;-0.199652777777778;-2.655;3.288;0;2.437794;0.441502013401325;0.0367152777777778
2020-01-19;-0.884159722222222;-5.046;3.158;0;8.2423602;0.259894676635199;1.35459027777778
2020-01-20;-3.44663888888889;-7.63;3.471;0;8.8827711;0.194529892905051;0.0806111111111111
2020-01-21;-1.37403472222222;-7.04;7.39;0;9.0676491;0.231107170968889;0.0179236111111111
2020-01-22;2.39827083333333;-1.372;9.67;0;9.0842526;0.239349782823793;0.00704861111111111
2020-01-23;2.33303819444444;-1.316;9.73;0;9.1572039;0.279675150439248;0.0740659722222222
2020-01-24;0.655243055555556;-2.448;6.661;0;8.3522016;0.290791253359963;0.0163993055555556
2020-01-25;0.537263888888889;-1.899;5.601;0;4.6949622;0.369734222914541;0.0398298611111111
2020-01-26;0.406423611111111;-1.505;2.969;0.8;3.4985355;0.560627535614635;0.0107951388888889
2020-01-27;0.477944444444444;-3.234;6.494;0;9.0144006;0.504565010448092;0.0108472222222222
2020-01-28;1.00515277777778;-0.927;3.633;1;3.2201454;0.559507602110976;1.1399375
2020-01-29;1.29135763888889;-2.765;5.158;0;9.7495188;0.311415390534279;1.93611805555556
2020-01-30;1.63131944444444;-1.589;7.09;0;9.6798117;0.33272898961069;0.601138888888889
2020-01-31;1.12597222222222;-2.801;9.17;0;9.0757164;0.39727228864204;0.0166319444444444
2020-02-01;1.32019444444444;-2.535;8.1;0;10.0250625;0.49528579345629;0.0102291666666667
2020-02-02;2.00994791666667;-1.305;8.01;0;8.216889;0.549840955083505;0.00722916666666667
